TIME,BTCBUSD
2021-03-03 00:14:02,48256.83
2021-03-03 00:14:03,48265.55
2021-03-03 00:14:04,48268.56
2021-03-03 00:14:05,48281.16
2021-03-03 00:14:06,48251.23
2021-03-03 00:14:07,48259.08
2021-03-03 00:14:08,48243.81
2021-03-03 00:14:09,48243.81
2021-03-03 00:14:10,48243.81
2021-03-03 00:14:11,48263.93
2021-03-03 00:14:12,48252.45
2021-03-03 00:14:13,48262.08
2021-03-03 00:14:14,48248.74
2021-03-03 00:14:15,48254.34
2021-03-03 00:14:16,48256.93
2021-03-03 00:14:17,48256.93
2021-03-03 00:14:18,48256.93
2021-03-03 00:14:19,48232.17
2021-03-03 00:14:20,48235.95
2021-03-03 00:14:21,48235.95
2021-03-03 00:14:22,48237.26
2021-03-03 00:14:23,48237.26
2021-03-03 00:14:24,48247.29
2021-03-03 00:14:25,48253.45
2021-03-03 00:14:26,48264.09
2021-03-03 00:14:27,48264.05
2021-03-03 00:14:28,48264.05
2021-03-03 00:14:29,48251.77
2021-03-03 00:14:30,48242.51
2021-03-03 00:14:31,48241.64
2021-03-03 00:14:32,48247.69
2021-03-03 00:14:33,48243.79
2021-03-03 00:14:34,48240.8
2021-03-03 00:14:35,48238.01
2021-03-03 00:14:36,48238.0
2021-03-03 00:14:37,48240.19
2021-03-03 00:14:38,48240.19
2021-03-03 00:14:39,48247.93
2021-03-03 00:14:40,48242.42
2021-03-03 00:14:41,48242.42
2021-03-03 00:14:42,48239.98
2021-03-03 00:14:43,48239.94
2021-03-03 00:14:44,48245.81
2021-03-03 00:14:45,48245.81
2021-03-03 00:14:46,48240.97
2021-03-03 00:14:47,48238.01
2021-03-03 00:14:48,48238.02
2021-03-03 00:14:49,48235.96
2021-03-03 00:14:50,48238.01
2021-03-03 00:14:51,48238.01
2021-03-03 00:14:52,48235.01
2021-03-03 00:14:53,48229.96
2021-03-03 00:14:54,48229.96
2021-03-03 00:14:55,48233.06
2021-03-03 00:14:56,48230.36
2021-03-03 00:14:57,48230.35
2021-03-03 00:14:58,48226.14
2021-03-03 00:14:59,48224.49
2021-03-03 00:15:00,48224.49
2021-03-03 00:15:01,48220.22
2021-03-03 00:15:02,48220.22
2021-03-03 00:15:03,48220.22
2021-03-03 00:15:04,48216.87
2021-03-03 00:15:05,48215.75
2021-03-03 00:15:06,48216.83
2021-03-03 00:15:07,48216.31
2021-03-03 00:15:08,48216.31
2021-03-03 00:15:09,48220.76
2021-03-03 00:15:10,48215.17
2021-03-03 00:15:11,48215.17
2021-03-03 00:15:12,48214.55
2021-03-03 00:15:13,48214.55
2021-03-03 00:15:14,48214.55
